puntaje,numero,color
5,7,azul
10,9,amarillo
10,8,rojo
5,5,rojo
10,12,negro
5,4,azul
15,1,rojo
10,11,azul
10,13,azul
5,3,negro
20,2,negro
5,3,negro
5,6,rojo
10,8,amarillo
10,8,azul
10,8,azul
15,1,azul
5,3,azul
5,4,amarillo
5,3,amarillo
10,9,azul
5,5,azul
10,11,azul
15,1,amarillo
5,4,azul
5,5,rojo
10,11,rojo
5,6,azul
5,4,amarillo
5,4,negro
5,6,amarillo
10,10,amarillo
15,1,negro
10,11,negro
10,13,amarillo
5,6,azul
10,10,amarillo
10,12,amarillo
10,11,amarillo
50,carita,negro
20,2,azul
5,6,negro
5,7,rojo
5,6,amarillo
10,12,rojo
5,7,amarillo
10,8,amarillo
10,10,rojo
15,1,negro
5,3,rojo
10,13,rojo
5,4,rojo
5,5,amarillo
5,4,negro
10,11,amarillo
20,2,rojo
10,13,amarillo
10,9,rojo
5,7,amarillo
5,5,azul
50,carita,negro
10,12,rojo
5,4,rojo
10,12,amarillo
5,5,negro
10,10,negro
10,10,azul
10,9,negro
10,10,rojo
10,12,azul
10,9,amarillo
5,7,negro
10,11,rojo
15,1,rojo
10,12,negro
5,7,negro
5,3,azul
10,11,negro
15,1,azul
10,8,negro
10,13,rojo
10,10,azul
5,6,negro
10,13,azul
5,7,azul
20,2,amarillo
15,1,amarillo
10,8,negro
10,13,negro
5,3,rojo
20,2,azul
10,12,azul
5,6,rojo
10,9,azul
10,10,negro
5,5,negro
5,7,rojo
10,13,negro
10,9,rojo
20,2,amarillo
5,3,amarillo
5,5,amarillo
10,9,negro
20,2,rojo
10,8,rojo
20,2,negro
